Timestamp,Sex,Birth Date,Address,Parent's Cohabitation Status,Mother's Education,Father's Education,Mother's Job,Father's Job,Study Time,Activities,Health,Peer Relationship,Region,Mathematics,Physics,Chemistry,Biology,English,Civics and Ethical Education,Scholastic Aptitude Test(SAT),General Chemistry,Communicative English Skills,General Physics I,Applied Mathematics - I,Introduction to computing (Python),Introduction to Civics and Ethics,Applied Mathematics II,General Physics II,Fundamentals of Programming (C++),Basic Writing skills,Engineering Drawing,Logic and Critical Thinking,School,Department,first_gpa,second_gpa,Performance
2020/01/18 5:29:30 PM GMT+3,Male,1998-09-09,Urban,Living together,Higher Education(University or College),Preparatory school(11-12),Other,Other,28,Yes,Yes,Good,Amhara Region,84,70,70,86,70,84,69,B,C+,C+,B+,B-,B,B,C+,A-,C+,B+,A-,"School of Mechanical, Chemical and Material Engineering",Mechanical Engineering,2.91,3.16,3.03
2020/01/18 5:44:12 PM GMT+3,Female,1999-06-22,Urban,Living together,Preparatory school(11-12),Higher Education(University or College),At home,Other,24,No,Yes,Good,Oromia Region,60,50,53,85,59,61,75,B,C+,C,C-,C+,B,C-,B,C+,B-,A+,B+,School of Civil Engineering and Architecture,Civil Engineering,2.42,2.86,2.64
2020/01/18 5:56:14 PM GMT+3,Female,2000-03-17,Urban,Living together,Elementary school(5-8),Preparatory school(11-12),Other,At home,4,Yes,Yes,Good,Oromia Region,55,53,53,61,69,76,80,C+,A,C,D,C+,B-,F,F,B-,A-,A-,B,School of Electrical Engineering and Computing,Computer Science and Engineering,2.38,2.09,2.24
2020/01/18 6:23:50 PM GMT+3,Female,2000-08-16,Urban,Living together,Preparatory school(11-12),Preparatory school(11-12),Other,Other,2,Yes,Yes,Good,Addis Ababa,45,40,68,78,68,80,66,B-,B+,C-,C,B,B-,C+,C,C-,A-,A-,C,School of Electrical Engineering and Computing,Computer Science and Engineering,2.59,2.62,2.61
2020/01/18 6:30:02 PM GMT+3,Male,1998-12-20,Rural,Living together,Higher Education(University or College),Higher Education(University or College),Teacher,Civil services(e.g. administrative or police),5,Yes,Yes,Good,Oromia Region,68,48,74,81,51,68,64,B+,C+,C+,B-,B+,B+,B-,C+,C+,C,B+,B-,"School of Mechanical, Chemical and Material Engineering",Mechanical Engineering,3.03,2.67,2.85
2020/01/18 6:39:16 PM GMT+3,Male,1997-05-23,Rural,Living together,Elementary school(5-8),Higher Education(University or College),At home,Civil services(e.g. administrative or police),30,Yes,Yes,Excellent,Oromia Region,54,54,83,77,54,77,54,C,B,B-,C,B,B+,A,C,B,B,A,C+,School of Electrical Engineering and Computing,Electronics and Communication Engineering,2.67,3.13,2.9
2020/01/18 6:40:06 PM GMT+3,Male,1997-05-23,Rural,Living together,Elementary school(5-8),Higher Education(University or College),At home,Civil services(e.g. administrative or police),30,Yes,Yes,Excellent,Oromia Region,54,54,83,77,54,77,54,C,B,B-,C,B,B+,A,C,B,B,A,C+,School of Electrical Engineering and Computing,Electronics and Communication Engineering,2.67,3.13,2.9
2020/01/18 7:00:52 PM GMT+3,Male,2000-05-05,Rural,"Together, but live in different places",High school(9-10),Higher Education(University or College),Civil services(e.g. administrative or police),Civil services(e.g. administrative or police),4,Yes,Yes,Good,Amhara Region,69,49,61,56,56,81,73,A-,B-,C,B-,B+,B,C+,B+,C,B-,A+,B,School of Electrical Engineering and Computing,Computer Science and Engineering,2.95,2.93,2.94
2020/01/18 7:23:29 PM GMT+3,Female,2020-04-13,Rural,Living together,Higher Education(University or College),Higher Education(University or College),Teacher,Civil services(e.g. administrative or police),14,Yes,Yes,Excellent,Addis Ababa,73,66,82,75,88,77,73,B+,A-,B-,B,A-,B,B,B-,B-,A-,A,B-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.28,3.16,3.22
2020/01/18 7:26:06 PM GMT+3,Male,1996-11-02,Urban,"Together, but live in different places",Primary school(1-4),None,At home,Other,5,Yes,Yes,Excellent,Addis Ababa,88,56,80,74,52,64,68,A+,A-,A+,A+,A+,A,A+,A,A+,B-,A+,A+,School of Electrical Engineering and Computing,Computer Science and Engineering,3.96,3.8,3.88
2020/01/18 7:49:37 PM GMT+3,Male,1996-03-08,Urban,"Together, but live in different places",Preparatory school(11-12),Higher Education(University or College),Other,At home,6,Yes,Yes,Good,Oromia Region,56,48,76,92,67,78,80,B,A-,A-,A-,A,A,A-,A,A+,A,A,A-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.71,3.91,3.81
2020/01/18 8:02:21 PM GMT+3,Male,2020-01-18,Rural,Living together,Higher Education(University or College),Higher Education(University or College),Other,Other,42,Yes,Yes,Excellent,Oromia Region,40,78,74,71,63,74,70,B-,B+,C,B-,B-,B+,C,C,C+,B,A-,B,School of Electrical Engineering and Computing,Computer Science and Engineering,2.87,2.67,2.77
2020/01/18 8:05:52 PM GMT+3,Female,2000-10-03,Urban,Living together,High school(9-10),High school(9-10),At home,Other,35,Yes,Yes,Good,Addis Ababa,52,53,56,65,70,81,73,A,A,C+,A-,A,B,B+,C+,B+,A,A-,B,School of Civil Engineering and Architecture,Civil Engineering,3.55,3.38,3.47
2020/01/18 8:09:01 PM GMT+3,Male,1997-09-09,Rural,Living together,None,Elementary school(5-8),At home,Other,15,Yes,Yes,Good,Tigray Region,65,54,70,78,59,77,63,A-,B-,B-,B,A+,B,A-,C+,A+,B-,B,A-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.2,3.32,3.26
2020/01/18 8:16:07 PM GMT+3,Male,1997-08-23,Urban,"Together, but live in different places",Elementary school(5-8),Elementary school(5-8),Other,Other,7,Yes,Yes,Fair,Amhara Region,51,34,75,85,85,75,65,C+,A,C+,C,A-,A-,C,B+,A+,C+,C,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,3.03,2.87,2.95
2020/01/18 8:41:06 PM GMT+3,Male,1999-09-26,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Teacher,Teacher,16,Yes,Yes,Fair,"Southern Nations, Nationalities, and Peoples' Region",58,58,66,81,75,91,80,B+,B,B+,A,A-,A-,C-,B,A+,A,A-,A-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.61,3.29,3.45
2020/01/18 8:56:42 PM GMT+3,Male,2000-02-24,Urban,Living together,Preparatory school(11-12),Preparatory school(11-12),At home,Other,4,Yes,Yes,Good,Addis Ababa,45,45,65,49,90,89,92,B,A-,D,D,B-,B+,D,F,B-,A-,A-,B-,School of Civil Engineering and Architecture,Civil Engineering,2.42,2.26,2.34
2020/01/18 9:15:21 PM GMT+3,Male,2020-01-18,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Other,Other,3,No,Yes,Fair,Addis Ababa,65,67,56,61,67,84,83,B+,A,C-,B,C,C+,D,C,C,B,A,B+,School of Civil Engineering and Architecture,Architecture,2.8,2.5,2.65
2020/01/18 9:28:57 PM GMT+3,Male,2020-01-18,Urban,Living together,High school(9-10),Elementary school(5-8),At home,Other,12,Yes,Yes,Good,Oromia Region,60,46,75,90,50,95,80,A,B+,C,B,B-,B-,B,C+,B,A-,A+,A,School of Civil Engineering and Architecture,Civil Engineering,3,3.36,3.18
2020/01/18 9:36:03 PM GMT+3,Male,1994-09-22,Urban,Living together,High school(9-10),Preparatory school(11-12),Other,Other,8,Yes,Yes,Good,Addis Ababa,65,56,69,89,64,90,64,B+,A,B+,A-,A+,A+,A-,B+,A+,A,A,A,School of Electrical Engineering and Computing,Computer Science and Engineering,3.79,3.87,3.83
2020/01/18 9:41:40 PM GMT+3,Male,1996-06-27,Urban,Living together,Preparatory school(11-12),Higher Education(University or College),At home,Civil services(e.g. administrative or police),20,Yes,Yes,Excellent,Oromia Region,50,64,75,86,82,71,63,C+,A,B,B+,A+,B+,A-,A+,A+,A-,A+,A-,School of Electrical Engineering and Computing,Computer Science and Engineering,3.42,3.87,3.64
2020/01/18 10:35:04 PM GMT+3,Male,2020-12-05,Urban,"Together, but live in different places",Higher Education(University or College),Higher Education(University or College),Teacher,Teacher,7,Yes,Yes,Good,Oromia Region,67,69,84,79,56,88,74,A+,B-,B+,A-,A,A,B+,A-,A,A-,A,A,School of Civil Engineering and Architecture,Civil Engineering,3.67,3.82,3.74
2020/01/18 10:45:50 PM GMT+3,Male,2007-09-18,Rural,Living together,High school(9-10),High school(9-10),At home,Other,3,Yes,Yes,Fair,Tigray Region,432,40,63,68,79,53,67,B,B,C+,C+,A-,B+,B-,C+,A,B+,A,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,3.01,3.34,3.18
2020/01/18 10:48:07 PM GMT+3,Male,1997-01-03,Urban,Living together,High school(9-10),High school(9-10),At home,Other,2,Yes,Yes,Good,Addis Ababa,49,49,62,75,72,70,69,B-,A,B+,B-,A+,B+,A,B,A+,A,A+,A,School of Electrical Engineering and Computing,Computer Science and Engineering,3.38,3.84,3.61
2020/01/18 10:52:24 PM GMT+3,Male,1998-01-11,Urban,Divorced,Elementary school(5-8),Elementary school(5-8),Other,Other,14,Yes,Yes,Excellent,"Southern Nations, Nationalities, and Peoples' Region",52,73,68,68,68,86,71,B+,A-,C,C+,B+,B+,C,C+,B+,A-,C,B+,School of Electrical Engineering and Computing,Electronics and Communication Engineering,3.09,2.83,2.96
2020/01/18 11:00:55 PM GMT+3,Female,2020-01-17,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Civil services(e.g. administrative or police),Other,48,Yes,Yes,Excellent,"Southern Nations, Nationalities, and Peoples' Region",49,46,68,53,59,88,77,C+,A-,B,C-,B,B,C,B,B+,B+,B,B,School of Electrical Engineering and Computing,Computer Science and Engineering,2.78,2.95,2.86
2020/01/18 11:10:18 PM GMT+3,Female,1998-10-10,Urban,"Together, but live in different places",Higher Education(University or College),Higher Education(University or College),At home,Other,4,Yes,Yes,Good,Amhara Region,64,44,65,70,50,75,55,B,B-,C,B,B,B-,C,C-,C,A-,C+,B-,School of Electrical Engineering and Computing,Electronics and Communication Engineering,2.76,2.43,2.6
2020/01/18 11:56:35 PM GMT+3,Male,1999-01-14,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Civil services(e.g. administrative or police),Civil services(e.g. administrative or police),3,Yes,Yes,Good,Oromia Region,32,64,60,64,60,78,81,C+,B+,C,D,A-,B-,C,C-,B-,A-,A-,B,School of Civil Engineering and Architecture,Architecture,2.5,2.79,2.64
2020/01/19 12:07:12 AM GMT+3,Male,1996-01-14,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Teacher,Teacher,20,Yes,Yes,Excellent,Amhara Region,49,44,65,89,76,78,56,B-,B+,B,C+,A-,B,C,B,A-,A,C-,B,"School of Mechanical, Chemical and Material Engineering",Materials Science Engineering,3.05,2.87,2.96
2020/01/19 12:09:52 AM GMT+3,Male,1997-04-10,Urban,"Together, but live in different places",Higher Education(University or College),Higher Education(University or College),Civil services(e.g. administrative or police),Civil services(e.g. administrative or police),56,Yes,Yes,Poor,Oromia Region,66,76,48,89,60,44,56,C+,B+,B,C,B,B+,B,B,B-,B-,B+,B+,"School of Mechanical, Chemical and Material Engineering",Materials Science Engineering,2.87,3.08,2.97
2020/01/19 10:35:21 AM GMT+3,Female,1999-10-31,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Other,Other,124,Yes,Yes,Excellent,Addis Ababa,75,80,65,81,95,78,88,C+,A,A-,C,B-,B-,C+,C-,C+,B+,A,A-,School of Civil Engineering and Architecture,Architecture,2.91,2.97,2.94
2020/01/19 10:44:53 AM GMT+3,Male,1998-12-16,Rural,"Together, but live in different places",Preparatory school(11-12),Preparatory school(11-12),Other,Other,3,Yes,Yes,Excellent,Addis Ababa,50,70,67,66,67,71,72,B,C+,C+,C+,C+,C,B,B-,B,B-,A+,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,2.5,3.16,2.83
2020/01/19 12:16:39 PM GMT+3,Male,1997-12-12,Urban,Living together,Primary school(1-4),Higher Education(University or College),At home,Civil services(e.g. administrative or police),28,Yes,Yes,Good,Oromia Region,65,40,76,83,73,87,63,A,A,C-,C+,B-,A-,B-,C,B+,A,A+,B,School of Electrical Engineering and Computing,Electronics and Communication Engineering,3.09,3.18,3.14
2020/01/19 12:43:38 PM GMT+3,Male,1997-09-20,Urban,Living together,None,None,At home,Other,8,Yes,Yes,Good,"Southern Nations, Nationalities, and Peoples' Region",52,40,78,80,57,79,62,C+,B+,C,B-,A,B,C+,C,B-,A,C+,B+,School of Electrical Engineering and Computing,Electronics and Communication Engineering,2.95,2.86,2.9
2020/01/19 12:57:54 PM GMT+3,Male,2020-09-01,Rural,"Together, but live in different places",Elementary school(5-8),Elementary school(5-8),At home,Other,20,Yes,Yes,Excellent,Oromia Region,59,38,75,81,48,92,75,C,C+,A-,C+,A-,B+,B+,A,A-,C,A-,C,"School of Mechanical, Chemical and Material Engineering",Materials Science Engineering,2.97,3.18,3.08
2020/01/19 1:12:12 PM GMT+3,Female,1998-02-05,Urban,Living together,Elementary school(5-8),None,Other,Other,4,Yes,Yes,Excellent,Oromia Region,68,52,74,25,88,88,75,B-,B,C+,C,A,C+,C,C+,A,A+,A-,A-,"School of Mechanical, Chemical and Material Engineering",Mechanical Engineering,2.75,3.26,3.01
2020/01/19 3:48:41 PM GMT+3,Female,2000-04-13,Urban,"Together, but live in different places",Preparatory school(11-12),Preparatory school(11-12),At home,Other,5,Yes,Yes,Excellent,Addis Ababa,42,45,38,65,72,70,88,B-,C+,B,D,B-,C+,C,B,B-,B-,B,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,2.34,2.79,2.57
2020/01/19 6:19:20 PM GMT+3,Male,2020-01-19,Rural,Living together,Preparatory school(11-12),Preparatory school(11-12),At home,Other,6,Yes,Yes,Excellent,"Southern Nations, Nationalities, and Peoples' Region",99,87,98,87,79,98,96,A+,A,A-,A,A+,A,A+,A+,A,A,A,A+,School of Electrical Engineering and Computing,Electronics and Communication Engineering,3.96,4,3.98
2020/01/19 6:27:36 PM GMT+3,Male,1997-02-20,Urban,Living together,Primary school(1-4),None,At home,Other,0,Yes,Yes,Excellent,Addis Ababa,60,45,74,83,60,77,60,B+,B,B,B+,A-,B+,A,B+,B,B-,C+,A-,"School of Mechanical, Chemical and Material Engineering",Mechanical Engineering,3.38,3.29,3.34
2020/01/19 6:51:36 PM GMT+3,Male,1999-02-19,Urban,Living together,Primary school(1-4),Primary school(1-4),At home,Other,10,Yes,Yes,Excellent,"Southern Nations, Nationalities, and Peoples' Region",55,60,70,86,50,90,60,B+,B,C,C,B+,A-,B,C,A-,A,C-,B,School of Electrical Engineering and Computing,Computer Science and Engineering,2.91,2.92,2.91
2020/01/19 7:26:28 PM GMT+3,Male,1999-12-29,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Other,Other,14,Yes,Yes,Excellent,Addis Ababa,66,40,70,76,68,75,87,C+,B+,B-,C,B,B-,C,D,A,B+,A-,C+,School of Electrical Engineering and Computing,Computer Science and Engineering,2.71,2.75,2.73
2020/01/19 9:23:16 PM GMT+3,Female,1998-11-04,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Other,Other,16,Yes,Yes,Good,Addis Ababa,46,36,58,82,60,82,65,B+,A-,C+,C,B+,B+,C,C,B+,B+,A+,C,School of Electrical Engineering and Computing,Computer Science and Engineering,3.07,2.79,2.93
2020/01/19 10:37:35 PM GMT+3,Female,2020-03-23,Urban,Living together,Preparatory school(11-12),Higher Education(University or College),At home,Other,2,Yes,Yes,Good,Addis Ababa,46,42,61,69,64,76,64,C+,A-,B-,C,B+,C+,B,C-,C+,B,A-,B-,School of Civil Engineering and Architecture,Architecture,2.79,2.8,2.8
2020/01/20 6:42:22 AM GMT+3,Male,2000-02-25,Urban,Living together,Higher Education(University or College),Higher Education(University or College),Civil services(e.g. administrative or police),Civil services(e.g. administrative or police),42,Yes,Yes,Excellent,Addis Ababa,38,47,63,71,59,88,78,B+,A-,C,C,A-,A,C-,B,A+,A,B+,A+,School of Electrical Engineering and Computing,Computer Science and Engineering,3.11,3.29,3.2
2020/01/20 9:03:53 AM GMT+3,Male,1999-08-20,Urban,Living together,Elementary school(5-8),Primary school(1-4),Other,Other,35,Yes,Yes,Good,Amhara Region,71,56,73,71,51,88,90,B+,B+,B+,A+,A+,B-,A-,C+,B,B,A-,A,School of Civil Engineering and Architecture,Civil Engineering,3.57,3.36,3.46
2020/01/20 10:46:52 AM GMT+3,Male,1998-03-08,Urban,Living together,Elementary school(5-8),Preparatory school(11-12),At home,Other,3,Yes,Yes,Excellent,Oromia Region,64,48,69,86,73,91,56,B+,A-,C+,C+,A,B+,B-,C+,B,A+,A-,B+,"School of Mechanical, Chemical and Material Engineering",Chemical Engineering,3.25,3.22,3.24
2020/01/20 10:54:33 AM GMT+3,Male,1997-01-25,Urban,Living together,Higher Education(University or College),Elementary school(5-8),At home,Other,4,Yes,Yes,Excellent,Oromia Region,51,59,50,79,78,90,65,B-,A,C+,F,B,A,C+,C+,B,A+,B-,C+,School of Civil Engineering and Architecture,Chemical Engineering,2.57,2.86,2.71
2020/01/20 12:57:23 PM GMT+3,Female,1999-03-08,Urban,"Together, but live in different places",Preparatory school(11-12),Preparatory school(11-12),Other,Other,7,Yes,Yes,Good,Addis Ababa,25,58,63,64,78,74,75,B+,A+,C-,F,B-,B+,C,C+,C,A,A,A-,School of Electrical Engineering and Computing,Computer Science and Engineering,2.45,2.99,2.72
2020/01/20 12:59:26 PM GMT+3,Male,1998-07-06,Urban,Living together,High school(9-10),Preparatory school(11-12),Other,Other,12,Yes,Yes,Good,Dire Dawa,55,54,85,77,65,65,75,B,B+,B-,B-,A-,B+,B-,B-,C+,B,B+,B+,School of Civil Engineering and Architecture,Civil Engineering,3.18,2.99,3.09
2020/01/20 12:59:33 PM GMT+3,Female,1999-03-08,Urban,"Together, but live in different places",Preparatory school(11-12),Preparatory school(11-12),Other,Other,5,Yes,Yes,Good,Addis Ababa,25,58,63,64,78,74,75,B+,A+,C-,F,B-,B+,C,C+,C,A,A,A-,School of Electrical Engineering and Computing,Computer Science and Engineering,2.45,2.99,2.72
2020/01/20 1:23:10 PM GMT+3,Male,1995-01-21,Urban,Living together,None,None,At home,Teacher,7,Yes,Yes,Good,Addis Ababa,41,39,57,78,72,88,65,B,B+,C,C,B+,A-,C+,B,B+,B+,F,B+,School of Electrical Engineering and Computing,Computer Science and Engineering,2.91,2.66,2.78
